item_name,person_name,episode_number
Queer Japan,Alonso,174
Black Bear,Drea,174
The Family Stone,Justin,174
How the Grinch Stole Christmas,Ify,174
Small Axe: Education,Alonso,173
Let Them All Talk,Drea,173
Soul Food,Ify,173
I’m Your Woman,Alonso,172
Wolfwalkers,Drea,172
The Cat’s Meow,Ben,172
The Fade Out,Ben,172
You Must Remember This,Ben,172
Pieces of April,Ify,171
Sound of Metal,Drea,171
The Godfather Coda: The Death of Michael Corleone,Alonso,171
Avengement,Jordan,171
Baby Driver,Ify,170
Eurovision Song Contest: The Story of Fire Saga,Drea,170
It’s Always Fair Weather,Alonso,170
Bad Boys II,Ify,169
Ainu Mosir,Drea,169
Small Axe: Mangrove,Alonso,169
City So Real,Ricky,169
I May Destroy You,Ify,168
Transhood,Drea,168
Alive Inside: A Story of Music and Memory,Alonso,168
Anna and the Apocalypse,Michael,168
Scoob!,Ify,167
The Donut King,Drea,167
The Craft: Legacy,Drea,167
Damnation,Alonso,167
Bad Education,Inkoo,167
Interstellar,Ify,166
Wild Zero,Ify,166
One Cut of the Dead,Drea,166
City Hall,Alonso,166
Let’s Scare Jessica To Death,Halle,166
Airplane!,Alison,166
Heartbreakers,Ify,165
Shithouse,Drea,165
On the Rocks,Alonso,165
Where’s Poppa?,Cody,165
8 Mile,Ify,164
Time,Drea,164
Stop-Loss,Alonso,164
Star Trek,Ify,163
The Forty-Year-Old Version,Drea,163
Totally Under Control,Alonso,163
The King’s Speech,Ify,162
Dick Johnson Is Dead,Drea,162
Vampires vs. the Bronx,Drea,162
Martin Scorsese’s World Cinema Project No. 3,Alonso,162
The Trip to Greece,Drea,161
Destroy All Monsters,Alonso,161
I’m Thinking of Ending Things,Myq,161
#Alive,Ify,160
Critical Thinking,Drea,160
The Complete Films of Agnès Varda,Alonso,160
Scream,Inkoo,160
The One,Ify,159
Ip Man,Drea,159
Yentl,Alonso,159
Roman Holiday,Nancy,159
Hard Ball,Ify,158
The Killing of Breonna Taylor,Drea,158
Women Make Film Series on TCM,Alonso,158
Class Action Park,Cody,158
Color Out of Space,Ify,157
Lingua Franca,Drea,157
The Last Five Years,Alonso,157
if…,Richard,157
O Lucky Man!,Richard,157
Britannia Hospital,Richard,157
Shrek 2,Ify,156
Eternal Sunshine of the Spotless Mind,Drea,156
Kinsey,Alonso,156
Garden State,Dave,156
The Inkwell,Ify,155
I Lost My Body,Drea,155
A Midnight Clear,Alonso,155
The Long Kiss Goodnight,Michelle,155
The Old Guard,Michelle,155
Look Who’s Talking Too,Ify,154
La Femme Nikita,Drea,154
Metropolitan,Alonso,154
Eddie,Nicole,154
Made in America,Nicole,154
Baby Boom,Nicole,154
Full Metal Jacket,Ify,153
The Witches of Eastwick,Drea,153
The Stepfather,Alonso,153
Lethal Weapon,Paul,153
Mighty Morphin Power Rangers: The Movie,Ify,152
To Die For,Drea,152
Party Girl,Alonso,152
Living in Oblivion,Erinn,152
Love & Basketball,Ify,151
We Are Little Zombies,Drea,151
Late Bloomers,Alonso,151
Jaws,Joelle,151
Blindspotting,Ify,150
Palm Springs,Drea,150
Mucho Mucho Amor,Alonso,150
Train to Busan,Ify,149
The Long Dumb Road,Drea,149
The Glass Menagerie,Alonso,149
Sing Street,Leonard,149
365 Days,Ify,148
Cairo Station,Drea,148
Pariah,Alonso,148
"What’s Up, Doc?",Demi,148
Dope,Ify,147
Miss Juneteenth,Drea,147
Disclosure,Alonso,147
Ong-Bak,Ify,146
This Teacher,Drea,146
I’m No Longer Here,Alonso,146
LA 92,Allegra,146
Drive,Ify,145
Teddy Bear,Drea,145
Watch Alonso discuss LGBTQ themes in film on TCM June 12th!,Alonso,145
Bad Education,Jon,145
The Turbo-Charged Prelude to 2 Fast 2 Furious,Ify,144
Better Luck Tomorrow,Drea,144
Larry Kramer In Love & Anger,Alonso,144
Green Room,Alonso,144
She’s All That,Ify,143
Trixie Mattel: Moving Parts,Drea,143
D.E.B.S.,Alonso,143
Safe Spaces,Jo,143
Uncut Gems,Ify,142
Spaceship Earth,Drea,142
Celine and Julie Go Boating,Alonso,142
The Secret Life of Walter Mitty,Myq,142
John Wick: Chapter 3 – Parabellum,Ify,141
The Florida Project,Drea,141
Space Station 76,Alonso,141
Secretary,Elizabeth,141
Akira,Ify,140
"Juliet, Naked",Drea,140
"A White, White Day",Alonso,140
Promare,Ify,139
Hunt for the Wilderpeople,Drea,139
My Brother’s Husband,Alonso,139
I Am the Pretty Thing That Lives in the House,Dani,139
Rush Hour,Ify,138
Straight Up,Drea,138
Sorry We Missed You,Alonso,138
